source_id,source_name,quantity,reference_key,url,catalogue_locator
A001,IGR J00291+5934,spin,Spin_igr00291,https://doi.org/10.1093/mnras/stw3332,spin: Sanna et al. 2017 MNRAS 466 2910; thermal: Campana et al. 2008 ApJL 689 L129
A001,IGR J00291+5934,thermal,Therm_igr00291,https://doi.org/10.1086/595867,spin: Sanna et al. 2017 MNRAS 466 2910; thermal: Campana et al. 2008 ApJL 689 L129
A003,MXB 1659-29,spin,Spin_mxb1659,https://doi.org/10.1086/319128,spin: Wijnands et al. 2001 ApJL 549 L71; thermal: Cackett et al. 2008 ApJL 687 L87
A003,MXB 1659-29,thermal,Therm_mxb1659,https://doi.org/10.1086/593703,spin: Wijnands et al. 2001 ApJL 549 L71; thermal: Cackett et al. 2008 ApJL 687 L87
A006,SAX J1810.8-2609,spin,Spin_saxj1810,https://doi.org/10.3847/2041-8213/aad09c,spin: Bilous et al. 2018 ApJL 862 L4; thermal: Jonker et al. 2004 MNRAS 349 94
A006,SAX J1810.8-2609,thermal,Therm_saxj1810,https://doi.org/10.1111/j.1365-2966.2004.07455.x,spin: Bilous et al. 2018 ApJL 862 L4; thermal: Jonker et al. 2004 MNRAS 349 94
A007,KS 1731-260,spin,Spin_ks1731,https://doi.org/10.1086/317031,spin: Muno et al. 2000 ApJ 542 1016; thermal: Merritt et al. 2016 ApJ 833 186
A007,KS 1731-260,thermal,Therm_ks1731,https://doi.org/10.3847/1538-4357/833/2/186,spin: Muno et al. 2000 ApJ 542 1016; thermal: Merritt et al. 2016 ApJ 833 186
A008,SAX J1748.9-2021,spin,Spin_saxj1748,https://doi.org/10.1088/0004-637X/690/2/1856,spin: Patruno et al. 2009 ApJ 690 1856; thermal: Bahramian et al. 2015 MNRAS 452 3475
A008,SAX J1748.9-2021,thermal,Therm_saxj1748,https://doi.org/10.1093/mnras/stv1585,spin: Patruno et al. 2009 ApJ 690 1856; thermal: Bahramian et al. 2015 MNRAS 452 3475
A010,Swift J1749.4-2807,spin,Spin_swift1749,https://doi.org/10.1088/2041-8205/727/1/L18,spin: Altamirano et al. 2011 ApJL 727 L18; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A010,Swift J1749.4-2807,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Altamirano et al. 2011 ApJL 727 L18; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A011,XTE J1751-305,spin,Spin_xtej1751,https://doi.org/10.1111/j.1365-2966.2007.12551.x,spin: Papitto et al. 2008 MNRAS 383 411; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A011,XTE J1751-305,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2008 MNRAS 383 411; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A012,SAX J1808.4-3658,spin,Spin_sax1808,https://doi.org/10.1038/28561,spin: Chakrabarty and Morgan 1998 Nature 394 346; thermal: Heinke et al. 2009 ApJ 691 1035
A012,SAX J1808.4-3658,thermal,Therm_sax1808,https://doi.org/10.1088/0004-637X/691/2/1035,spin: Chakrabarty and Morgan 1998 Nature 394 346; thermal: Heinke et al. 2009 ApJ 691 1035
A013,IGR J17498-2921,spin,Spin_igr17498,https://doi.org/10.1051/0004-6361/201117995,spin: Papitto et al. 2011 A&A 535 L4; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A013,IGR J17498-2921,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2011 A&A 535 L4; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A014,XTE J1814-338,spin,Spin_xtej1814,https://doi.org/10.1111/j.1365-2966.2006.11359.x,spin: Papitto et al. 2007 MNRAS 375 971; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A014,XTE J1814-338,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2007 MNRAS 375 971; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A015,IGR J17191-2821,spin,Spin_igr17191,https://doi.org/10.1111/j.1365-2966.2009.15627.x,spin: Altamirano et al. 2010 MNRAS 401 223; thermal: Haskell Degenaar and Ho 2012 MNRAS 424 93
A015,IGR J17191-2821,thermal,Therm_igr17191,https://doi.org/10.1111/j.1365-2966.2012.21171.x,spin: Altamirano et al. 2010 MNRAS 401 223; thermal: Haskell Degenaar and Ho 2012 MNRAS 424 93
A016,IGR J18245-2452 / M28I,spin,Spin_igr18245,https://doi.org/10.1051/0004-6361/201730600,spin: De Falco et al. 2017 A&A 603 A16; thermal: Linares et al. 2014 MNRAS 438 251
A016,IGR J18245-2452 / M28I,thermal,Therm_igr18245,https://doi.org/10.1093/mnras/stt2167,spin: De Falco et al. 2017 A&A 603 A16; thermal: Linares et al. 2014 MNRAS 438 251
A017,IGR J17511-3057,spin,Spin_igr17511,https://doi.org/10.1111/j.1365-2966.2010.17090.x,spin: Papitto et al. 2010 MNRAS 407 2575; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A017,IGR J17511-3057,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2010 MNRAS 407 2575; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A018,NGC 6440 X-2,spin,Spin_ngc6440x2,https://doi.org/10.1088/0004-637X/814/2/138,spin: Bult et al. 2015 ApJ 814 138; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A018,NGC 6440 X-2,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Bult et al. 2015 ApJ 814 138; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A019,XTE J1807-294,spin,Spin_xtej1807,https://doi.org/10.1086/533578,spin: Riggio et al. 2008 ApJ 678 1273; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A019,XTE J1807-294,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Riggio et al. 2008 ApJ 678 1273; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A020,XTE J0929-314,spin,Spin_xtej0929,https://doi.org/10.1086/343841,spin: Galloway et al. 2002 ApJL 576 L137; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A020,XTE J0929-314,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Galloway et al. 2002 ApJL 576 L137; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A021,Swift J1756.9-2508,spin,Spin_swift1756,https://doi.org/10.1086/522959,spin: Krimm et al. 2007 ApJL 668 L147; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A021,Swift J1756.9-2508,thermal,Degenaar2012,https://doi.org/10.1088/0004-637X/756/2/148,spin: Krimm et al. 2007 ApJL 668 L147; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148
A022,IGR J16597-3704,spin,Spin_igr16597,https://doi.org/10.1051/0004-6361/201732262,spin: Sanna et al. 2018 A&A 610 L2; thermal: Tetarenko et al. 2018 ApJ 854 125
A022,IGR J16597-3704,thermal,Therm_igr16597,https://doi.org/10.3847/1538-4357/aaa95a,spin: Sanna et al. 2018 A&A 610 L2; thermal: Tetarenko et al. 2018 ApJ 854 125
R001,J0023+0923,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 125 (snapshot 2025-12-25)
R001,J0023+0923,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 125 (snapshot 2025-12-25)
R002,J0024-7204C,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 126 (snapshot 2025-12-25)
R002,J0024-7204C,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 126 (snapshot 2025-12-25)
R003,J0024-7204D,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 127 (snapshot 2025-12-25)
R003,J0024-7204D,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 127 (snapshot 2025-12-25)
R004,J0024-7204E,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 128 (snapshot 2025-12-25)
R004,J0024-7204E,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 128 (snapshot 2025-12-25)
R005,J0024-7204F,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 129 (snapshot 2025-12-25)
R005,J0024-7204F,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 129 (snapshot 2025-12-25)
R006,J0024-7204H,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 130 (snapshot 2025-12-25)
R006,J0024-7204H,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 130 (snapshot 2025-12-25)
R007,J0024-7204J,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 131 (snapshot 2025-12-25)
R007,J0024-7204J,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 131 (snapshot 2025-12-25)
R008,J0024-7204L,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 132 (snapshot 2025-12-25)
R008,J0024-7204L,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 132 (snapshot 2025-12-25)
R009,J0024-7204M,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 133 (snapshot 2025-12-25)
R009,J0024-7204M,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 133 (snapshot 2025-12-25)
R010,J0024-7204N,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 134 (snapshot 2025-12-25)
R010,J0024-7204N,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 134 (snapshot 2025-12-25)
R011,J0024-7204O,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 135 (snapshot 2025-12-25)
R011,J0024-7204O,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 135 (snapshot 2025-12-25)
R012,J0024-7204Q,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 136 (snapshot 2025-12-25)
R012,J0024-7204Q,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 136 (snapshot 2025-12-25)
R013,J0024-7204R,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 137 (snapshot 2025-12-25)
R013,J0024-7204R,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 137 (snapshot 2025-12-25)
R015,J0024-7204T,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 139 (snapshot 2025-12-25)
R015,J0024-7204T,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 139 (snapshot 2025-12-25)
R016,J0024-7204U,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 140 (snapshot 2025-12-25)
R016,J0024-7204U,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 140 (snapshot 2025-12-25)
R018,J0024-7204X,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 142 (snapshot 2025-12-25)
R018,J0024-7204X,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 142 (snapshot 2025-12-25)
R019,J0024-7204Y,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 143 (snapshot 2025-12-25)
R019,J0024-7204Y,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 143 (snapshot 2025-12-25)
R020,J0024-7204Z,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 144 (snapshot 2025-12-25)
R020,J0024-7204Z,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 144 (snapshot 2025-12-25)
R021,J0024-7204aa,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 145 (snapshot 2025-12-25)
R021,J0024-7204aa,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 145 (snapshot 2025-12-25)
R022,J0024-7204ab,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 146 (snapshot 2025-12-25)
R022,J0024-7204ab,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 146 (snapshot 2025-12-25)
R023,J0030+0451,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 147 (snapshot 2025-12-25)
R023,J0030+0451,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 147 (snapshot 2025-12-25)
R024,J0034-0534,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 148 (snapshot 2025-12-25)
R024,J0034-0534,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 148 (snapshot 2025-12-25)
R025,J0101-6422,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 149 (snapshot 2025-12-25)
R025,J0101-6422,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 149 (snapshot 2025-12-25)
R026,J0218+4232,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 150 (snapshot 2025-12-25)
R026,J0218+4232,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 150 (snapshot 2025-12-25)
R027,J0307+7443,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 151 (snapshot 2025-12-25)
R027,J0307+7443,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 151 (snapshot 2025-12-25)
R028,J0337+1715,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 152 (snapshot 2025-12-25)
R028,J0337+1715,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 152 (snapshot 2025-12-25)
R029,J0437-4715,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 153 (snapshot 2025-12-25)
R029,J0437-4715,thermal,GCGR2019,https://doi.org/10.1093/mnras/stz2941,Xu living Table 2 line 153 (snapshot 2025-12-25)
R030,J0613-0200,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 154 (snapshot 2025-12-25)
R030,J0613-0200,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 154 (snapshot 2025-12-25)
R031,J0614-3329,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 155 (snapshot 2025-12-25)
R031,J0614-3329,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 155 (snapshot 2025-12-25)
R032,J0636+5128,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 156 (snapshot 2025-12-25)
R032,J0636+5128,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 156 (snapshot 2025-12-25)
R033,J0740+6620,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 158 (snapshot 2025-12-25)
R033,J0740+6620,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 158 (snapshot 2025-12-25)
R034,J0751+1807,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 159 (snapshot 2025-12-25)
R034,J0751+1807,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 159 (snapshot 2025-12-25)
R035,J0952-0607,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 160 (snapshot 2025-12-25)
R035,J0952-0607,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 160 (snapshot 2025-12-25)
R036,J1012+5307,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 161 (snapshot 2025-12-25)
R036,J1012+5307,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 161 (snapshot 2025-12-25)
R037,J1023+0038,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 162 (snapshot 2025-12-25)
